Datetime,load_kW
2020-04-25 14:15:00,32.70737333333333
2020-04-25 14:30:00,30.378106666666664
2020-04-25 14:45:00,34.31155999999999
2020-04-25 15:00:00,33.54258
2020-04-25 15:15:00,30.389853333333335
2020-04-25 15:30:00,34.185386666666666
2020-04-25 15:45:00,32.04910666666667
2020-04-25 16:00:00,33.681900000000006
2020-04-25 16:15:00,32.27487333333333
2020-04-25 16:30:00,34.06642000000001
2020-04-25 16:45:00,37.54891333333334
2020-04-25 17:00:00,36.48930666666667
2020-04-25 17:15:00,30.55442666666666
2020-04-25 17:30:00,33.872566666666664
2020-04-25 17:45:00,33.74496
2020-04-25 18:00:00,29.635986666666668
2020-04-25 18:15:00,37.54466
2020-04-25 18:30:00,30.332333333333338
2020-04-25 18:45:00,33.69256
2020-04-25 19:00:00,33.54285333333333
2020-04-25 19:15:00,30.138053333333332
2020-04-25 19:30:00,35.326800000000006
2020-04-25 19:45:00,31.941359999999996
2020-04-25 20:00:00,33.62012
2020-04-25 20:15:00,32.09546
2020-04-25 20:30:00,33.69515333333334
2020-04-25 20:45:00,32.217753333333334
2020-04-25 21:00:00,33.77285333333334
2020-04-25 21:15:00,32.38184
2020-04-25 21:30:00,35.45399999999999
2020-04-25 21:45:00,30.71384666666667
2020-04-25 22:00:00,33.42807333333333
2020-04-25 22:15:00,34.60915333333334
2020-04-25 22:30:00,28.492886666666667
2020-04-25 22:45:00,36.57136666666666
2020-04-25 23:00:00,29.803006666666665
2020-04-25 23:15:00,33.04571333333333
2020-04-25 23:30:00,33.38247333333333
2020-04-25 23:45:00,31.78599333333334
2020-04-26 00:00:00,31.036439999999995
2020-04-26 00:15:00,32.566446666666664
2020-04-26 00:30:00,29.30191333333333
2020-04-26 00:45:00,31.43833333333333
2020-04-26 01:00:00,32.82652666666667
2020-04-26 01:15:00,31.064106666666667
2020-04-26 01:30:00,32.29826666666666
2020-04-26 01:45:00,33.53822
2020-04-26 02:00:00,29.30870666666667
2020-04-26 02:15:00,30.918506666666666
2020-04-26 02:30:00,34.97584000000001
2020-04-26 02:45:00,29.6157
2020-04-26 03:00:00,32.58103333333334
2020-04-26 03:15:00,30.96657333333333
2020-04-26 03:30:00,32.3843
2020-04-26 03:45:00,28.95401333333333
